# ts,sessionnum,Breath Rate,Heart Rate,ST Change,Cadence,Body Power,Body Shock,Altitude,UGE,HRV,PEP,LVET,QOS,Device QTc,Device BR,Device HR,Device ST,Device Cadence,Device Shock,FF QOS,Device Afib,Device Calories,Device Stress,Device Power,ACCY values
0,0,3,56,47,0,0,0,14889,0,27,43,0,95,411,13,54,60,127,4,90,6,0,24,103424,-789
20000,1,3,69,22,0,0,0,12466,0,38,44,0,95,456,23,77,70,87,48,87,6,0,20,108544,-915
41000,2,4,71,52,0,0,0,8229,0,21,43,0,95,440,25,70,50,81,4,84,1,0,34,124928,-915
61000,3,4,68,44,0,0,0,5385,0,15,43,0,95,436,18,69,70,0,0,82,1,0,43,208896,-893
81000,4,7,64,73,0,0,0,13444,0,24,43,0,95,433,16,68,60,53,98,88,6,0,31,92160,-863
101000,5,4,60,50,0,0,0,18860,0,19,44,0,95,432,13,61,70,0,0,88,1,0,33,68608,-864
121000,6,4,59,75,0,0,0,18016,0,19,44,0,95,441,15,59,70,0,0,85,1,0,33,71680,-882
141000,7,7,57,49,0,0,0,18494,0,19,44,0,95,403,12,59,50,0,0,92,6,0,33,93184,-862
161000,8,4,56,35,0,0,0,15131,0,91,44,0,95,404,12,59,50,0,0,90,6,0,2,83968,-868
181000,9,4,61,37,0,0,0,18793,0,91,44,0,95,404,11,60,40,0,0,91,6,0,2,76800,-856
201000,10,11,57,44,0,0,0,15993,0,85,43,0,95,389,12,63,70,0,0,87,4,0,3,107520,-864
221000,11,3,57,44,0,0,0,19015,0,33,47,0,95,400,12,56,70,0,0,91,1,0,17,94208,-866
242000,12,3,59,47,0,0,0,18992,0,24,43,0,95,419,11,58,70,0,0,88,1,0,25,77824,-870
262000,13,4,60,54,0,0,0,18274,0,32,42,0,95,422,13,60,60,0,0,91,1,0,21,83968,-866
282000,14,8,57,42,0,0,0,15388,0,46,43,0,95,404,11,57,70,0,0,93,6,0,14,73728,-872
302000,15,12,56,49,0,0,0,18925,0,40,46,0,95,411,11,56,60,0,0,93,6,0,16,68608,-878
322000,16,13,58,44,0,0,0,16205,0,27,44,0,95,423,12,58,70,0,0,93,1,0,24,70656,-878
342000,17,0,0,0,0,0,0,18538,0,69,0,0,95,409,13,58,60,0,0,92,1,0,10,73728,-881
362000,18,4,70,43,0,0,0,15340,0,70,44,0,95,453,14,63,50,0,0,90,1,0,7,98304,-940
382000,19,3,82,45,0,0,0,11536,0,28,43,0,95,478,15,78,70,115,78,88,6,0,16,129024,-842
402000,20,10,72,56,0,0,0,9575,0,19,42,0,95,452,14,73,70,95,8,91,6,0,41,115712,-902
422000,21,3,65,62,0,0,0,12018,0,25,43,0,95,415,14,64,80,0,0,93,6,0,30,116736,-935
443000,22,3,67,30,0,0,0,9479,0,23,44,0,95,435,13,70,50,99,50,90,1,0,29,116736,-901
463000,23,7,55,30,0,0,0,17770,0,64,47,0,95,394,13,63,60,0,0,91,6,0,9,114688,-818
483000,24,7,54,30,0,0,0,17948,0,63,44,0,95,410,13,53,50,0,0,92,6,0,8,91136,-818
503000,25,3,57,32,0,0,0,17848,0,36,44,0,95,423,14,57,50,0,0,91,1,0,17,101376,-831
523000,26,3,55,35,0,0,0,15272,0,32,42,0,95,430,13,54,60,0,0,92,1,0,19,104448,-831
543000,27,7,55,34,0,0,0,18815,0,30,44,0,95,437,12,55,60,0,0,92,1,0,21,106496,-848
563000,28,11,56,29,0,0,0,15783,0,28,44,0,95,426,11,56,50,0,0,92,1,0,22,90112,-830
583000,29,3,58,27,0,0,0,18580,0,29,44,0,95,439,11,57,60,0,0,93,1,0,22,88064,-827
603000,30,3,56,31,0,0,0,18465,0,29,43,0,95,424,10,57,60,0,0,93,1,0,23,92160,-838
623000,31,9,58,28,0,0,0,18780,0,21,47,0,95,448,11,58,50,0,0,92,1,0,28,96256,-838
644000,32,13,57,25,0,0,0,15340,0,18,48,0,95,437,12,58,50,0,0,93,1,0,31,102400,-837
664000,33,13,56,22,0,0,0,18636,0,20,45,0,95,432,12,56,50,0,0,92,1,0,29,87040,-838
684000,34,13,58,21,0,0,0,15567,0,27,43,0,95,434,12,58,50,0,0,92,1,0,24,91136,-830
704000,35,10,55,23,0,0,0,18982,0,26,43,0,95,444,11,55,60,0,0,92,1,0,24,93184,-831
724000,36,4,56,15,0,0,0,18638,0,26,43,0,95,447,11,56,60,0,0,93,1,0,23,91136,-827
744000,37,3,58,27,0,0,0,18604,0,25,46,0,95,445,11,56,50,0,0,92,1,0,25,77824,-829
764000,38,10,56,23,0,0,0,11072,128,24,45,0,95,445,14,57,50,0,0,89,1,0,25,103424,-829
