# session_0,session_1,session_2,session_3,session_4,session_5,session_6,session_7,session_8,session_9,session_10,session_11,session_12,session_13,session_14,session_15,session_16,session_17,session_18,session_19,session_20,session_21,session_22,session_23,session_24,session_25,session_26,session_27,session_28,session_29,session_30,session_31,session_32,session_33,session_34,session_35,session_36,session_37,session_38,session_39,session_40,session_41,session_42,session_43,session_44,session_45,session_46,session_47,session_48,session_49,session_50,session_51,session_52,session_53,session_54,session_55,session_56,session_57,session_58,session_59,session_60,session_61,session_62,session_63,session_64,session_65,session_66,session_67,session_68,session_69,session_70,session_71,session_72,session_73,session_74,session_75,session_76,session_77,session_78,session_79,session_80,session_81,session_82,session_83,session_84,session_85,session_86,session_87,session_88,session_89,session_90,session_91,session_92,session_93,session_94,session_95,session_96,session_97,session_98,session_99,session_100,session_101,session_102,session_103,session_104
49,46,47,52,49,49,49,49,50,49,50,49,51,51,50,49,51,49,50,46,53,56,54,51,50,50,49,49,49,51,51,52,49,49,51,51,48,50,49,49,51,52,53,50,48,50,50,48,49,48,49,49,50,50,47,48,48,50,49,48,48,49,48,48,49,47,47,48,47,51,47,50,50,49,49,49,47,57,50,47,49,55,49,47,47,48,49,49,47,57,49,49,49,50,52,51,47,45,47,50,50,50,49,46,57
67,49,46,48,52,49,49,49,49,50,49,50,49,51,51,50,49,51,49,50,46,53,55,54,51,50,50,50,50,49,51,50,52,49,49,51,51,49,50,49,48,51,52,53,50,48,50,49,48,49,48,49,49,50,50,47,48,48,50,49,48,48,49,48,48,50,48,46,48,47,51,47,50,50,49,48,49,47,54,49,47,48,57,48,48,47,47,49,49,47,57,48,49,49,49,53,51,47,45,47,50,50,52,49,46
67,47,46,48,52,49,49,49,49,50,49,50,49,51,51,50,49,51,49,50,46,53,56,54,50,49,49,50,50,49,51,51,51,49,49,50,51,48,51,49,48,51,52,52,49,48,49,49,48,49,48,49,54,49,50,47,48,48,50,49,48,48,49,48,48,50,48,46,48,47,51,48,50,50,49,48,49,46,53,49,47,48,57,48,48,47,47,49,48,48,57,48,49,50,49,53,51,47,46,47,50,50,55,49,46
67,47,46,48,52,49,49,49,49,50,50,50,50,51,51,51,49,51,49,50,49,54,56,54,50,48,49,51,49,50,51,51,51,49,49,50,51,47,50,49,48,51,52,52,49,48,49,49,48,48,48,49,54,49,50,47,48,48,50,48,49,48,49,48,48,50,48,48,48,47,51,48,50,50,49,48,49,47,53,49,47,48,57,48,47,47,48,49,48,48,57,48,49,50,48,53,50,47,46,47,50,50,55,48,46
67,47,46,49,52,49,49,49,49,50,50,50,50,51,51,51,49,51,49,50,49,57,56,54,50,48,49,51,49,51,51,50,51,49,49,50,51,47,50,49,48,51,51,51,49,48,49,49,48,48,48,49,54,49,50,47,47,48,50,48,49,48,49,47,48,50,48,48,48,47,51,48,50,50,48,47,48,47,53,48,47,48,57,48,47,47,48,49,48,47,55,48,49,50,48,53,50,45,46,47,50,50,55,48,46
63,47,46,49,51,49,49,49,49,50,50,49,50,51,51,51,49,51,49,50,49,57,56,54,50,48,49,52,50,51,51,51,51,49,49,50,51,47,50,49,48,49,51,51,48,49,48,49,48,49,48,49,54,49,47,47,47,48,50,48,49,48,49,47,48,50,48,48,48,47,51,48,50,50,47,47,48,47,53,48,47,47,57,48,47,47,48,49,48,47,55,48,49,51,48,53,50,45,46,47,50,50,55,48,46
54,47,46,49,51,49,49,50,49,50,50,49,50,51,51,51,49,51,49,50,49,57,56,53,50,49,49,52,50,51,50,51,51,49,49,50,51,47,50,49,48,49,51,51,48,51,48,48,48,49,48,49,54,49,47,47,47,48,49,48,49,48,49,47,48,50,48,48,47,47,51,48,50,50,47,47,49,47,53,48,47,47,56,48,48,47,48,49,47,47,55,48,49,51,48,53,50,44,46,47,50,50,55,48,47
54,47,46,49,51,49,49,50,49,50,50,49,50,51,51,51,49,51,49,51,53,58,56,53,50,49,49,51,50,51,50,51,51,49,49,50,51,47,51,49,48,50,51,51,48,49,49,48,49,49,48,49,54,48,47,47,47,48,49,48,49,48,49,47,48,50,48,49,47,47,51,48,49,50,47,47,49,47,53,48,47,47,56,48,48,47,48,49,47,48,54,48,48,51,48,53,48,44,46,47,49,50,55,48,0
53,47,48,49,51,49,49,50,49,50,50,49,50,51,51,51,49,51,50,50,53,58,56,53,51,49,49,51,50,51,50,50,51,49,49,50,51,47,51,49,48,50,51,50,48,49,49,48,49,48,48,49,51,48,47,47,47,48,49,48,49,48,48,47,48,50,48,50,48,47,51,48,49,50,47,47,48,48,54,48,47,47,56,48,48,47,48,49,47,48,54,48,48,52,48,53,48,44,46,47,49,50,53,48,0
53,46,48,50,50,49,48,50,49,50,50,49,50,51,51,49,49,51,50,50,53,57,56,53,50,49,49,51,50,51,49,50,51,50,49,50,51,48,51,50,48,50,51,50,48,49,50,48,49,48,49,49,49,49,47,47,47,47,49,48,49,48,48,47,48,50,48,50,48,47,51,48,49,50,47,47,48,48,54,48,47,47,55,47,47,47,48,49,46,50,54,47,47,52,48,53,48,44,46,48,49,50,51,48,0
53,46,48,50,50,49,48,51,49,50,50,49,50,51,50,49,49,52,51,50,53,58,57,53,50,49,49,51,51,51,49,50,52,49,49,50,51,49,51,50,48,50,51,50,48,51,50,49,49,49,50,49,49,49,47,47,47,47,49,48,49,48,48,47,48,50,49,50,48,47,50,48,49,50,47,48,48,48,54,48,48,47,53,47,48,47,48,49,46,51,53,46,47,52,48,53,48,44,46,48,49,50,51,48,0
53,46,48,51,50,49,48,50,49,50,50,49,50,51,50,49,49,52,51,50,53,57,57,53,50,50,49,51,51,51,49,51,52,50,50,50,51,49,51,50,49,50,51,50,48,51,50,49,49,49,50,49,49,49,47,47,49,47,49,48,49,48,47,47,48,50,49,50,47,47,49,48,49,49,48,48,48,51,54,48,48,47,52,47,48,47,48,49,46,51,53,46,47,52,48,53,47,44,46,49,49,50,50,47,0
51,46,48,51,50,49,48,50,49,50,50,49,50,51,50,49,50,52,51,50,53,57,57,52,50,50,49,51,50,51,49,51,52,50,50,50,51,49,51,50,49,50,51,50,48,51,49,49,49,49,50,49,49,49,47,47,47,47,49,47,49,48,47,47,48,49,48,50,47,47,49,48,49,49,48,49,48,53,54,48,48,47,52,47,48,47,48,49,46,51,52,46,47,52,47,51,47,44,46,49,49,50,50,47,0
51,46,46,51,50,49,48,50,49,50,50,49,50,51,49,49,50,51,51,50,53,56,57,52,51,51,49,50,50,51,49,51,52,50,50,51,51,49,51,50,49,50,51,51,48,50,49,49,49,49,50,49,49,49,47,48,47,47,49,47,49,48,47,47,48,49,47,51,47,47,48,48,49,49,48,49,47,57,54,48,48,47,52,46,47,47,48,48,46,51,52,46,47,52,48,51,47,44,46,49,50,50,49,46,0
51,46,46,51,49,49,48,50,49,49,50,49,50,51,49,49,53,51,51,50,52,57,56,52,51,51,49,50,50,51,50,52,52,50,50,51,51,49,51,50,49,51,51,51,47,50,49,49,49,49,50,49,49,49,46,48,48,47,49,47,49,48,47,48,48,49,47,50,47,47,48,48,49,49,48,49,47,58,54,48,49,47,51,46,47,47,48,48,46,52,52,46,47,51,49,51,47,44,46,49,50,50,49,46,253
51,46,46,51,49,49,48,50,49,49,50,49,50,51,49,49,53,51,51,50,52,57,56,51,50,51,49,49,49,51,50,52,52,49,50,51,51,49,51,50,49,52,53,51,48,51,50,49,49,49,50,49,50,50,46,48,49,48,49,48,49,48,47,48,48,49,50,50,47,47,48,48,49,49,48,49,47,58,53,48,49,50,51,46,48,47,48,48,46,52,52,46,48,51,49,51,47,44,46,49,50,50,49,46,55
50,46,47,52,49,49,48,50,49,49,50,50,50,51,49,49,53,50,51,50,52,57,56,51,50,51,49,49,49,51,49,52,52,49,51,51,51,50,51,50,49,52,53,51,48,50,50,48,49,49,50,49,50,50,46,48,49,48,49,48,49,48,48,48,48,49,50,50,47,48,47,49,49,49,49,49,47,58,52,48,48,55,50,46,48,47,48,48,46,53,52,48,48,50,49,51,46,45,47,49,50,50,49,46,0
50,45,47,52,49,49,48,50,50,49,50,50,50,51,49,49,53,50,51,48,52,56,55,51,50,51,49,49,49,51,50,52,50,49,50,51,49,50,51,50,51,52,53,50,48,49,50,48,49,48,50,49,49,50,46,48,48,48,49,47,48,48,48,48,48,49,48,49,47,49,47,50,49,49,48,49,47,58,51,48,48,55,49,46,48,47,48,48,47,54,51,48,49,50,51,51,46,45,47,50,50,50,50,46,0
