,undefined,deep,light,rem,wake,stage
0,8.225592e-05,0.0138358725,0.1587391,0.002911081,0.8244316,4
1,5.125471e-05,0.015436054,0.18110353,0.0023525374,0.8010566,4
2,3.973781e-05,0.018135753,0.19869797,0.0019805983,0.781146,4
3,3.3966742e-05,0.021778215,0.21462138,0.0017145491,0.76185185,4
4,3.120969e-05,0.02687032,0.23014502,0.0015304997,0.7414228,4
5,3.1732958e-05,0.034494024,0.24124183,0.001373756,0.7228586,4
6,3.36314e-05,0.041145146,0.22897302,0.001193937,0.7286544,4
7,3.4848294e-05,0.04599099,0.21254598,0.0010373701,0.7403907,4
8,3.5150886e-05,0.049215067,0.19437148,0.0009096016,0.75546867,4
9,3.4404977e-05,0.051524136,0.17851378,0.00082092517,0.76910675,4
10,3.467013e-05,0.054122243,0.16332617,0.0007647048,0.7817522,4
11,3.3927547e-05,0.057643544,0.1492717,0.00071792636,0.792333,4
12,3.220242e-05,0.060039185,0.136839,0.0006701069,0.8024196,4
13,2.9951654e-05,0.062189534,0.12659231,0.0006241494,0.8105641,4
14,2.8032755e-05,0.0632244,0.1176089,0.0005834916,0.81855506,4
15,2.6454967e-05,0.064157315,0.110306025,0.0005528714,0.82495725,4
16,2.4960695e-05,0.064451054,0.10427662,0.0005284406,0.830719,4
17,2.3472436e-05,0.06459097,0.09911075,0.000508848,0.8357659,4
18,2.2947688e-05,0.067402944,0.09441132,0.0005025703,0.8376603,4
19,2.391097e-05,0.07279792,0.09275781,0.00051674206,0.8339035,4
20,2.4160823e-05,0.07573418,0.093222044,0.0005271965,0.83049244,4
21,2.4310968e-05,0.07806918,0.093863055,0.00053782633,0.8275056,4
22,2.4451989e-05,0.080072425,0.09494195,0.0005504791,0.8244107,4
23,2.4547035e-05,0.08177314,0.09588633,0.0005622201,0.8217536,4
24,2.4528776e-05,0.083152875,0.096803404,0.00057291274,0.8194463,4
25,2.4375533e-05,0.08431732,0.09802691,0.0005842339,0.8170472,4
26,2.4405907e-05,0.086011685,0.099326305,0.0005996328,0.81403786,4
27,2.4567827e-05,0.0879974,0.10058485,0.00061870425,0.8107744,4
28,2.4504463e-05,0.089822374,0.10244681,0.0006379552,0.8070684,4
29,2.423474e-05,0.09122306,0.10436317,0.0006552188,0.8037343,4
30,2.3927036e-05,0.092853226,0.106448926,0.0006727827,0.8000011,4
31,2.364247e-05,0.09426528,0.108536035,0.0006914121,0.7964836,4
32,2.3377457e-05,0.09612384,0.11131208,0.00071560364,0.79182506,4
33,2.3424347e-05,0.09953956,0.114412904,0.00074754417,0.78527653,4
34,2.3352544e-05,0.10230217,0.11779673,0.0007799761,0.7790978,4
35,2.3314287e-05,0.106019825,0.12249402,0.0008197716,0.7706431,4
36,2.3819772e-05,0.10892686,0.12694,0.0008531494,0.7632562,4
37,2.3799485e-05,0.10994158,0.12444818,0.0008681245,0.76471823,4
38,2.4124285e-05,0.113858156,0.1282812,0.0009134297,0.7569231,4
39,2.474312e-05,0.11803214,0.13058719,0.00096066983,0.7503953,4
40,2.5408437e-05,0.121770196,0.13269374,0.0010104273,0.7445001,4
41,2.6041462e-05,0.12511884,0.1346001,0.0010609075,0.7391941,4
42,2.648345e-05,0.12725191,0.13613823,0.0011066793,0.7354768,4
43,2.6871041e-05,0.12884659,0.13737209,0.0011512891,0.73260313,4
44,2.7430546e-05,0.13008283,0.13853578,0.001197607,0.73015636,4
45,2.794666e-05,0.12958509,0.1398299,0.0012316395,0.7293254,4
46,2.8876542e-05,0.1258907,0.13979626,0.0012449704,0.7330392,4
47,2.8119422e-05,0.11486265,0.13670374,0.0012196833,0.7471858,4
48,2.7026166e-05,0.10634719,0.13443123,0.0012202573,0.7579742,4
49,2.5889427e-05,0.10391023,0.12711972,0.0012091413,0.76773494,4
50,2.5714624e-05,0.09836502,0.12531619,0.0012116238,0.7750814,4
51,2.4937472e-05,0.09484338,0.12411341,0.0012237024,0.7797946,4
52,2.39217e-05,0.09129128,0.12425547,0.0012373084,0.7831919,4
53,2.2985732e-05,0.08706211,0.12428684,0.0012490585,0.78737897,4
54,2.2016216e-05,0.08241817,0.12488467,0.0012684141,0.79140675,4
55,2.0947193e-05,0.07787382,0.12589467,0.0012915373,0.79491913,4
56,2.0473484e-05,0.075221725,0.12612098,0.0013361585,0.79730076,4
57,2.0264375e-05,0.07235731,0.1275637,0.0014002508,0.79865843,4
58,1.996362e-05,0.0686828,0.12960358,0.0014845228,0.80020905,4
59,1.9406696e-05,0.06655215,0.13409102,0.0015878304,0.7977496,4
60,1.9036686e-05,0.06456918,0.13903338,0.001722464,0.79465586,4
61,1.894988e-05,0.06497417,0.14577551,0.0019146835,0.7873167,4
62,1.9324276e-05,0.06767093,0.15672348,0.0022044838,0.7733818,4
63,2.0538833e-05,0.07346662,0.17032176,0.0026326824,0.75355834,4
64,2.3041845e-05,0.08373538,0.18817505,0.0032925676,0.724774,4
65,2.6828937e-05,0.09540022,0.20724177,0.0042345086,0.69309676,4
66,3.2709435e-05,0.11361348,0.23489027,0.0058066817,0.6456568,4
67,4.566853e-05,0.14274612,0.26584643,0.008653287,0.5827085,4
68,9.1665286e-05,0.20018317,0.2914838,0.014888752,0.49335256,4
69,0.0003869595,0.32264954,0.28560036,0.030419646,0.3609435,4
